frame,pupil2D_x,pupil2D_y,gaze_x,gaze_y,confidence,consistence
1,364.509139,225.736035,92.872312,118.491001,0.998386,1.000000
2,384.101173,227.677577,84.610887,117.758492,0.998860,1.000000
3,365.043781,249.692670,92.780551,108.938474,0.999634,1.000000
4,358.025543,252.020921,95.490675,108.077492,0.999619,1.000000
5,359.892696,255.798595,94.724035,106.653422,0.996349,1.000000
6,359.892696,255.798595,94.724035,106.653422,0.996349,1.000000
7,360.070353,260.722601,94.632679,104.762824,1.000000,1.000000
8,359.152445,255.469839,94.924887,106.688053,0.997842,1.000000
9,360.599019,263.766266,94.416292,103.616026,1.000000,1.000000
10,360.599019,263.766266,94.416292,103.616026,1.000000,1.000000
11,359.255999,259.446008,94.946225,105.266860,0.999586,1.000000
12,359.255999,259.446008,94.946225,105.266860,0.999586,1.000000
13,359.255999,259.446008,94.946225,105.266860,0.999586,1.000000
14,359.255999,259.446008,94.946225,105.266860,0.999586,1.000000
15,359.255999,259.446008,94.946225,105.266860,0.999586,1.000000
16,360.602122,257.566468,94.457111,105.953109,1.000000,1.000000
17,360.602122,257.566468,94.457111,105.953109,1.000000,1.000000
18,360.602122,257.566468,94.457111,105.953109,1.000000,1.000000
19,360.602122,257.566468,94.457111,105.953109,1.000000,1.000000
20,360.602122,257.566468,94.457111,105.953109,1.000000,1.000000
21,360.602122,257.566468,94.457111,105.953109,1.000000,1.000000
22,360.602122,257.566468,94.457111,105.953109,1.000000,1.000000
23,360.602122,257.566468,94.457111,105.953109,1.000000,1.000000
24,360.602122,257.566468,94.457111,105.953109,1.000000,1.000000
25,360.602122,257.566468,94.457111,105.953109,1.000000,1.000000
26,360.602122,257.566468,94.457111,105.953109,1.000000,1.000000
27,371.745567,256.690627,90.188888,106.218444,0.999547,1.000000
28,383.368153,257.162258,85.678361,106.081257,1.000000,1.000000
29,395.575140,257.467292,80.900674,106.067108,0.997325,1.000000
30,403.146933,259.126950,77.921899,105.545780,0.997691,1.000000
31,411.002550,260.448496,74.803428,105.200502,1.000000,1.000000
32,411.002550,260.448496,74.803428,105.200502,1.000000,1.000000
33,411.002550,260.448496,74.803428,105.200502,1.000000,1.000000
34,411.002550,260.448496,74.803428,105.200502,1.000000,1.000000
35,411.002550,260.448496,74.803428,105.200502,1.000000,1.000000
36,407.616759,262.490566,76.260943,104.361532,0.999584,1.000000
37,407.616759,262.490566,76.260943,104.361532,0.999584,1.000000
38,407.616759,262.490566,76.260943,104.361532,0.999584,1.000000
39,407.616759,262.490566,76.260943,104.361532,0.999584,1.000000
40,407.616759,262.490566,76.260943,104.361532,0.999584,1.000000
41,405.947100,264.390753,76.960628,103.579606,1.000000,1.000000
42,405.947100,264.390753,76.960628,103.579606,1.000000,1.000000
43,401.454307,255.761718,78.506377,106.855593,0.999198,1.000000
44,398.425382,247.775236,79.427069,109.925284,0.998390,1.000000
45,398.425382,247.775236,79.427069,109.925284,0.998390,1.000000
46,394.408659,238.683368,80.692731,113.450599,0.998757,1.000000
47,392.308062,234.255500,81.381806,115.211407,1.000000,1.000000
48,396.029006,235.490852,79.853435,114.795200,1.000000,1.000000
49,393.780333,239.130675,80.970096,113.269884,1.000000,1.000000
50,389.732360,236.286466,82.536326,114.353687,1.000000,1.000000
51,392.011705,234.810277,81.524240,114.993101,0.998851,1.000000
52,392.011705,234.810277,81.524240,114.993101,0.998851,1.000000
53,395.392743,231.762459,79.933602,116.317000,1.000000,1.000000
54,387.961383,236.151761,83.279809,114.364337,1.000000,1.000000
55,387.961383,236.151761,83.279809,114.364337,1.000000,1.000000
56,391.068622,238.314411,82.050477,113.557883,0.999626,1.000000
57,391.068622,238.314411,82.050477,113.557883,0.999626,1.000000
58,381.217313,234.270431,86.009097,115.046527,0.998845,1.000000
59,373.766960,232.342777,89.064863,115.783263,0.999618,1.000000
60,373.766960,232.342777,89.064863,115.783263,0.999618,1.000000
61,361.241886,229.005213,94.277178,117.201132,0.999599,1.000000
62,355.839878,225.381618,96.597455,118.778888,0.998338,1.000000
63,355.839878,225.381618,96.597455,118.778888,0.998338,1.000000
64,357.167667,220.827689,96.109724,120.700994,0.999578,1.000000
65,357.167667,220.827689,96.109724,120.700994,0.999578,1.000000
66,357.167667,220.827689,96.109724,120.700994,0.999578,1.000000
67,357.167667,220.827689,96.109724,120.700994,0.999578,1.000000
68,357.167667,220.827689,96.109724,120.700994,0.999578,1.000000
69,357.167667,220.827689,96.109724,120.700994,0.999578,1.000000
70,357.167667,220.827689,96.109724,120.700994,0.999578,1.000000
71,357.167667,220.827689,96.109724,120.700994,0.999578,1.000000
72,357.167667,220.827689,96.109724,120.700994,0.999578,1.000000
73,357.167667,220.827689,96.109724,120.700994,0.999578,1.000000
74,345.585374,223.318547,101.134044,119.926810,1.000000,1.000000
75,339.676900,227.506648,103.526209,118.343616,0.999575,1.000000
76,334.313057,228.975548,105.793845,117.950616,0.999576,1.000000
77,330.005214,231.087090,107.554618,117.247379,1.000000,1.000000
78,323.942243,234.294846,110.009391,116.199555,1.000000,1.000000
79,323.942243,234.294846,110.009391,116.199555,1.000000,1.000000
80,323.942243,234.294846,110.009391,116.199555,1.000000,1.000000
81,323.942243,234.294846,110.009391,116.199555,1.000000,1.000000
82,323.942243,234.294846,110.009391,116.199555,1.000000,1.000000
83,323.942243,234.294846,110.009391,116.199555,1.000000,1.000000
84,323.942243,234.294846,110.009391,116.199555,1.000000,1.000000
85,323.942243,234.294846,110.009391,116.199555,1.000000,1.000000
86,323.942243,234.294846,110.009391,116.199555,1.000000,1.000000
87,323.942243,234.294846,110.009391,116.199555,1.000000,1.000000
88,323.942243,234.294846,110.009391,116.199555,1.000000,1.000000
89,317.371698,240.113993,112.522248,114.068758,1.000000,1.000000
90,314.171626,244.750741,113.622080,112.261259,1.000000,1.000000
91,312.584297,247.902778,114.111594,110.986482,1.000000,1.000000
92,311.637396,252.443741,114.258421,109.090578,1.000000,1.000000
93,309.460021,257.880960,114.912354,106.892458,1.000000,1.000000
94,309.150743,259.159730,114.957856,106.384928,0.997599,1.000000
95,309.150743,259.159730,114.957856,106.384928,0.997599,1.000000
96,309.150743,259.159730,114.957856,106.384928,0.997599,1.000000
97,309.150743,259.159730,114.957856,106.384928,0.997599,1.000000
98,310.641846,254.006000,114.588449,108.487043,0.997972,1.000000
99,311.020849,252.623803,114.504975,109.037034,0.999590,1.000000
100,311.020849,252.623803,114.504975,109.037034,0.999590,1.000000
101,311.020849,252.623803,114.504975,109.037034,0.999590,1.000000
102,311.020849,252.623803,114.504975,109.037034,0.999590,1.000000
103,311.020849,252.623803,114.504975,109.037034,0.999590,1.000000
104,311.020849,252.623803,114.504975,109.037034,0.999590,1.000000
105,316.278698,261.164132,111.883067,105.300538,0.999209,1.000000
106,317.725104,269.968867,111.000651,101.733473,0.998867,1.000000
107,321.836298,274.494862,109.229424,99.869983,1.000000,1.000000
108,323.336740,281.936897,108.553509,96.963233,0.996629,1.000000
109,325.798711,285.203976,107.518719,95.700823,0.999210,1.000000
110,325.798711,285.203976,107.518719,95.700823,0.999210,1.000000
111,325.798711,285.203976,107.518719,95.700823,0.999210,1.000000
112,325.798711,285.203976,107.518719,95.700823,0.999210,1.000000
113,325.798711,285.203976,107.518719,95.700823,0.999210,1.000000
114,325.798711,285.203976,107.518719,95.700823,0.999210,1.000000
115,325.798711,285.203976,107.518719,95.700823,0.999210,1.000000
116,325.798711,285.203976,107.518719,95.700823,0.999210,1.000000
117,324.518612,287.908403,107.941865,94.659937,0.994055,1.000000
118,324.518612,287.908403,107.941865,94.659937,0.994055,1.000000
119,324.518612,287.908403,107.941865,94.659937,0.994055,1.000000
120,335.491538,289.637381,103.630868,94.103922,0.975428,1.000000
121,341.586051,291.060368,101.373380,93.665430,0.975492,1.000000
122,349.260205,292.015457,98.539161,93.361536,0.971660,1.000000
123,353.571353,293.968841,96.968344,92.659388,0.952310,1.000000
124,359.979269,295.157634,94.622073,92.257295,0.937215,1.000000
125,361.488575,294.385525,94.064074,92.544957,0.951772,1.000000
126,363.073454,296.787779,93.490057,91.675718,0.941046,1.000000
127,363.073454,296.787779,93.490057,91.675718,0.941046,1.000000
128,358.767306,295.925283,95.062996,91.971176,0.935065,1.000000
129,355.842320,294.949221,96.121481,92.326919,0.951952,1.000000
130,355.842320,294.949221,96.121481,92.326919,0.951952,1.000000
131,355.842320,294.949221,96.121481,92.326919,0.951952,1.000000
132,355.842320,294.949221,96.121481,92.326919,0.951952,1.000000
133,355.842320,294.949221,96.121481,92.326919,0.951952,1.000000
134,355.842320,294.949221,96.121481,92.326919,0.951952,1.000000
135,355.842320,294.949221,96.121481,92.326919,0.951952,1.000000
136,369.415524,291.564384,91.170416,93.573808,0.970117,1.000000
137,377.333248,291.019496,88.312262,93.724526,0.956812,1.000000
138,383.382157,290.895717,86.042950,93.783424,0.979431,1.000000
139,388.783102,288.094293,83.979531,94.705520,0.989954,1.000000
140,393.379049,288.977551,82.274473,94.389909,0.986957,1.000000
141,393.379049,288.977551,82.274473,94.389909,0.986957,1.000000
142,391.597368,288.767529,82.933517,94.465960,0.986266,1.000000
143,391.597368,288.767529,82.933517,94.465960,0.986266,1.000000
144,391.597368,288.767529,82.933517,94.465960,0.986266,1.000000
145,392.703565,289.470030,82.549413,94.217325,0.978621,1.000000
146,392.703565,289.470030,82.549413,94.217325,0.978621,1.000000
147,392.703565,289.470030,82.549413,94.217325,0.978621,1.000000
148,392.703565,289.470030,82.549413,94.217325,0.978621,1.000000
149,392.703565,289.470030,82.549413,94.217325,0.978621,1.000000
150,392.703565,289.470030,82.549413,94.217325,0.978621,1.000000
151,395.916841,285.954268,81.228759,95.468143,0.994341,1.000000
